INSEE,POSTAL,CITY,PRICE,TFB,,
93008,93000,BOBIGNY,20.47,49.92,,
94018,94220,CHARENTON LE PONT,24.1,29.19,,
92063,92500,RUEIL MALMAISON,24.1,21.54,,
91340,91090,LISSES,19.3,40.32,,
95680,95400,VILLIERS LE BEL,20.47,41.06,, 
78190,78290,CROISSY SUR SEINE,19.3,23.84,,
91434,91390,MORSANG SUR ORGE,19.3,36.2,,
92044,92300,LEVALLOIS PERRET,28.33,22.93,,
77390,77680,ROISSY EN BRIE,19.3,47.15,,
93015,93470,Coubron,14.73,34.6,,
91657,91270,VIGNEUX SUR SEINE,20.47,35.71,,
78321,78760,JOUARS PONTCHARTRAIN,14.73,31.52,,
77285,77350,MEE SUR SEINE,20.47,44.62,,
92033,92380,GARCHES,24.1,22.63,,
77155,77400,DAMPMART,14.73,45.6,,
95134,95660,CHAMPAGNE SUR OISE,14.73,34.91,,
92019,92290,CHATENAY MALABRY,20.47,26.93,,
77108,77500,CHELLES,19.3,42.35,,
95219,95120,ERMONT,19.3,35.22,,
93074,93410,VAUJOURS,14.73,23.97,,
92020,92320,CHATILLON,24.1,25.51,,
77085,77600,CHANTELOUP EN BRIE,19.3,51,,
91461,91340,Ollainville,14.73,34.35,,
91044,91160,Ballainvilliers,14.73,33.57,,
95197,95170,DEUIL LA BARRE,19.3,38.37,,
92004,92600,ASNIERES SUR SEINE,24.1,19.5,,
95633,95500,Vaudherland,14.73,20.84,,
94058,94170,PERREUX SUR MARNE,24.1,35.08,,
91136,91160,CHAMPLAN,14.73,38.66,,
91326,91260,JUVISY SUR ORGE,19.3,54.31,,
92025,92700,COLOMBES,20.47,27.47,,
77255,77000,Livry-sur-Seine,19.3,35.97,,
77372,77400,POMPONNE,19.3,36.62,,
91225,91450,ETIOLLES,19.3,33.16,,
78311,78800,HOUILLES,19.3,30.92,,
95500,95000,PONTOISE,20.47,47.07,,
95491,95130,PLESSIS BOUCHARD,14.73,39.63,,
93013,93350,BOURGET,19.3,34.9,,
77407,77310,ST FARGEAU PONTHIERRY,19.3,43.84,,
78397,78320,MESNIL SAINT DENIS,19.3,32.84,,
92023,92140,CLAMART,20.47,22.98,,
92049,92120,MONTROUGE,24.1,19.98,,
91425,91310,MONTLHERY,19.3,37.2,,
93048,93100,MONTREUIL,20.47,41.44,,
91521,91130,RIS ORANGIS,19.3,39.11,,
77514,77270,VILLEPARISIS,19.3,44.1,,
95210,95880,ENGHIEN LES BAINS,24.1,26.48,,
95229,95460,EZANVILLE,19.3,32.99,,
77058,77600,BUSSY SAINT GEORGES,19.3,64.32,,
78356,78114,MAGNY LES HAMEAUX,20.47,36.88,,
93014,93390,CLICHY SOUS BOIS,19.3,32.89,,
91179,91830,COUDRAY MONTCEAUX,19.3,22.22,,
92035,92250,GARENNE COLOMBES,24.1,25.13,,
77495,77240,VERT SAINT DENIS,14.73,49.17,,
91333,91310,LEUVILLE SUR ORGE,19.3,36.35,,
93007,93150,BLANC MESNIL,20.47,39.17,,
77209,77400,Gouvernes,14.73,46.31,,
77258,77185,LOGNES,19.3,55.65,,
91666,91140,Villejust,19.3,28.87,,
78466,78630,ORGEVAL,19.3,29.52,,
91635,91430,VAUHALLAN,19.3,36.87,,
93032,93220,GAGNY,19.3,36.66,,
92072,92310,SEVRES,24.1,28.55,,
94017,94500,CHAMPIGNY SUR MARNE,20.47,35.91,,
78481,78230,PECQ,20.47,26.58,,
94075,94440,Villecresnes,14.73,38.55,,
94038,94240,HAY LES ROSES,20.47,36.27,,
95527,95700,ROISSY EN FRANCE,19.3,33.76,,
78586,78500,SARTROUVILLE,19.3,24.04,,
91570,91240,ST MICHEL SUR ORGE,19.3,39.14,,
92050,92000,NANTERRE,20.47,22.97,,
91581,91650,Saint-Yon,14.73,33.07,,
91691,91330,YERRES,19.3,43.16,,
77132,77700,Coupvray,14.73,50.48,,
78029,78410,Aubergenville,14.73,31.72,,
78643,78540,VERNOUILLET,19.3,31.4,,
95612,95500,Le Thillay,14.73,35.35,,
77169,77184,EMERAINVILLE,19.3,64.27,,
92078,92390,VILLENEUVE LA GARENNE,20.47,30.53,,
93062,93340,RAINCY,19.3,31.54,,
91458,91620,Nozay,19.3,29.84,,
91105,91650,Breuillet,14.73,40.97,,
78683,78640,Villiers-Saint-Fréderic,14.73,20.84,,
91347,91310,LONGPONT SUR ORGE,19.3,36.89,,
95306,95220,HERBLAY,19.3,38.78,,
95446,95690,Nesles-la-Vallée,14.73,27.47,,
95127,95800,CERGY,20.47,44.15,,
78490,78370,PLAISIR,19.3,34.1,,
93070,93400,ST OUEN,20.47,33.21,,
92076,92420,VAUCRESSON,24.1,22.4,,
93001,93300,AUBERVILLIERS,20.47,43.12,,
95488,95480,PIERRELAYE,19.3,37.14,,
77152,77190,DAMMARIE LES LYS,20.47,47.28,,
95183,95800,COURDIMANCHE,19.3,43.23,,
91679,91190,Villiers-le-Bâcle,14.73,29.86,,
91645,91370,VERRIERES LE BUISSON,19.3,41.72,,
77243,77400,LAGNY SUR MARNE,19.3,46.78,,
78297,78280,GUYANCOURT,20.47,33.62,,
91386,91540,MENNECY,19.3,37.98,,
77384,77550,Réau,14.73,32.3,,
77118,77410,CLAYE SOUILLY,19.3,46.16,,
94054,94310,ORLY,20.47,35.39,,
91457,91290,NORVILLE,19.3,34.15,,
91494,91220,PLESSIS PATE,19.3,37.32,,
78160,78460,CHEVREUSE,19.3,23.89,,
78621,78190,TRAPPES,20.47,34.58,,
78384,78670,Médan,19.3,26.38,,
91631,91480,Varennes-Jarcy,14.73,29.27,,
94046,94700,MAISONS ALFORT,24.1,28.62,,
93059,93380,PIERREFITTE SUR SEINE,20.47,47.84,,
91064,91570,BIEVRES,19.3,35.27,,
91534,91400,Saclay,19.3,37.16,,
93033,93460,GOURNAY SUR MARNE,19.3,37.15,,
95392,95630,MERIEL,19.3,40.58,,
91244,91540,Fontenay-le-Vicomte,14.73,27.38,,
77075,77144,CHALIFERT,19.3,49,,
94071,94370,SUCY EN BRIE,19.3,36.08,,
91235,91700,FLEURY MEROGIS,14.73,38.93,,
77337,77186,NOISIEL,14.73,58.91,,
94003,94110,ARCUEIL,20.47,37.15,,
95598,95230,SOISY SOUS MONTMORENCY,19.3,37.17,,
77040,77310,BOISSISE LE ROI,14.73,42.44,,
77450,77170,SERVON,14.73,35.77,,
78383,78310,MAUREPAS,19.3,34.49,,
95039,95430,AUVERS SUR OISE,19.3,41.23,,
92071,92330,SCEAUX,24.1,33.52,,
95480,95620,PARMAIN,14.73,37.18,,
78092,78380,BOUGIVAL,19.3,25.79,,
91103,91220,BRETIGNY SUR ORGE,19.3,36.39,,
95288,95410,GROSLAY,19.3,35.45,,
91667,91360,VILLEMOISSON SUR ORGE,19.3,32.62,,
78124,78420,CARRIERES SUR SEINE,19.3,30.68,,
77062,77400,Carnetin,19.3,35.63,,
78372,78160,MARLY LE ROI,24.1,27.72,,
77053,77170,BRIE COMTE ROBERT,19.3,40.42,,
78117,78530,BUC,19.3,26.57,,
77237,77600,Jossigny,14.73,40.12,,
78314,78440,Issou,14.73,34.18,,
95426,95680,MONTLIGNON,19.3,28.54,,
92036,92230,GENNEVILLIERS,20.47,31.37,,
77055,77177,Brou-sur-Chantereine,19.3,54.63,,
78638,78740,VAUX SUR SEINE,19.3,29.11,,
77121,77090,Collégien,19.3,44,,
91106,91650,Breux-Jouy,14.73,36.75,,
78005,78260,ACHERES,20.47,36.08,,
